sample_id,SampleName,BioSample,BioProject
138059,102.100.100/138059,SAMN43264288,PRJNA1122929
138062,102.100.100/138062,SAMN43264291,PRJNA1122929
138073,102.100.100/138073,SAMN43264302,PRJNA1122929
138088,102.100.100/138088,SAMN43264317,PRJNA1122929
138089,102.100.100/138089,SAMN43264318,PRJNA1122929
138090,102.100.100/138090,SAMN43264319,PRJNA1122929
138091,102.100.100/138091,SAMN43264320,PRJNA1122929
138092,102.100.100/138092,SAMN43264321,PRJNA1122929
138093,102.100.100/138093,SAMN43264322,PRJNA1122929
138094,102.100.100/138094,SAMN43264323,PRJNA1122929
138095,102.100.100/138095,SAMN43264324,PRJNA1122929
138096,102.100.100/138096,SAMN43264325,PRJNA1122929
138097,102.100.100/138097,SAMN43264326,PRJNA1122929
138098,102.100.100/138098,SAMN43264327,PRJNA1122929
138099,102.100.100/138099,SAMN43264328,PRJNA1122929
138108,102.100.100/138108,SAMN43264337,PRJNA1122929
138120,102.100.100/138120,SAMN43264349,PRJNA1122929
138121,102.100.100/138121,SAMN43264350,PRJNA1122929
138123,102.100.100/138123,SAMN43264351,PRJNA1122929
138124,102.100.100/138124,SAMN43264352,PRJNA1122929
138125,102.100.100/138125,SAMN43264353,PRJNA1122929
138126,102.100.100/138126,SAMN43264354,PRJNA1122929
138127,102.100.100/138127,SAMN43264355,PRJNA1122929
138128,102.100.100/138128,SAMN43264356,PRJNA1122929
138129,102.100.100/138129,SAMN43264357,PRJNA1122929
138130,102.100.100/138130,SAMN43264358,PRJNA1122929
138131,102.100.100/138131,SAMN43264359,PRJNA1122929
138132,102.100.100/138132,SAMN43264360,PRJNA1122929
138133,102.100.100/138133,SAMN43264361,PRJNA1122929
138134,102.100.100/138134,SAMN43264362,PRJNA1122929
138136,102.100.100/138136,SAMN43264363,PRJNA1122929
138137,102.100.100/138137,SAMN43264364,PRJNA1122929
138138,102.100.100/138138,SAMN43264365,PRJNA1122929
138139,102.100.100/138139,SAMN43264366,PRJNA1122929
138180,102.100.100/138180,SAMN43264406,PRJNA1122929
138181,102.100.100/138181,SAMN43264407,PRJNA1122929
138182,102.100.100/138182,SAMN43264408,PRJNA1122929
138067,102.100.100/138067,SAMN43264296,PRJNA1122929
138072,102.100.100/138072,SAMN43264301,PRJNA1122929
138220,102.100.100/138220,SAMN43264446,PRJNA1122929
138221,102.100.100/138221,SAMN43264447,PRJNA1122929
138222,102.100.100/138222,SAMN43264448,PRJNA1122929
138223,102.100.100/138223,SAMN43264449,PRJNA1122929
138226,102.100.100/138226,SAMN43264452,PRJNA1122929
138227,102.100.100/138227,SAMN43264453,PRJNA1122929
138228,102.100.100/138228,SAMN43264454,PRJNA1122929
138229,102.100.100/138229,SAMN43264455,PRJNA1122929
138230,102.100.100/138230,SAMN43264456,PRJNA1122929
138231,102.100.100/138231,SAMN43264457,PRJNA1122929
138232,102.100.100/138232,SAMN43264458,PRJNA1122929
138233,102.100.100/138233,SAMN43264459,PRJNA1122929
138234,102.100.100/138234,SAMN43264460,PRJNA1122929
138235,102.100.100/138235,SAMN43264461,PRJNA1122929
138237,102.100.100/138237,SAMN43264462,PRJNA1122929
138238,102.100.100/138238,SAMN43264463,PRJNA1122929
400856,102.100.100/400856,SAMN43264481,PRJNA1122929
400857,102.100.100/400857,SAMN43264482,PRJNA1122929
400858,102.100.100/400858,SAMN43264483,PRJNA1122929
400876,102.100.100/400876,SAMN43264484,PRJNA1122929
400879,102.100.100/400879,SAMN43264485,PRJNA1122929
400881,102.100.100/400881,SAMN43264486,PRJNA1122929
138053,102.100.100/138053,SAMN43264282,PRJNA1122929
138054,102.100.100/138054,SAMN43264283,PRJNA1122929
138058,102.100.100/138058,SAMN43264287,PRJNA1122929
138060,102.100.100/138060,SAMN43264289,PRJNA1122929
138061,102.100.100/138061,SAMN43264290,PRJNA1122929
138086,102.100.100/138086,SAMN43264315,PRJNA1122929
138087,102.100.100/138087,SAMN43264316,PRJNA1122929
138111,102.100.100/138111,SAMN43264340,PRJNA1122929
138112,102.100.100/138112,SAMN43264341,PRJNA1122929
138113,102.100.100/138113,SAMN43264342,PRJNA1122929
138114,102.100.100/138114,SAMN43264343,PRJNA1122929
138115,102.100.100/138115,SAMN43264344,PRJNA1122929
138116,102.100.100/138116,SAMN43264345,PRJNA1122929
138117,102.100.100/138117,SAMN43264346,PRJNA1122929
138118,102.100.100/138118,SAMN43264347,PRJNA1122929
138119,102.100.100/138119,SAMN43264348,PRJNA1122929
138161,102.100.100/138161,SAMN43264388,PRJNA1122929
138162,102.100.100/138162,SAMN43264389,PRJNA1122929
138168,102.100.100/138168,SAMN43264395,PRJNA1122929
138169,102.100.100/138169,SAMN43264396,PRJNA1122929
138170,102.100.100/138170,SAMN43264397,PRJNA1122929
138171,102.100.100/138171,SAMN43264398,PRJNA1122929
138172,102.100.100/138172,SAMN43264399,PRJNA1122929
138173,102.100.100/138173,SAMN43264400,PRJNA1122929
138174,102.100.100/138174,SAMN43264401,PRJNA1122929
138175,102.100.100/138175,SAMN43264402,PRJNA1122929
138176,102.100.100/138176,SAMN43264403,PRJNA1122929
138179,102.100.100/138179,SAMN43264405,PRJNA1122929
138219,102.100.100/138219,SAMN43264445,PRJNA1122929
138224,102.100.100/138224,SAMN43264450,PRJNA1122929
138225,102.100.100/138225,SAMN43264451,PRJNA1122929
401140,102.100.100/401140,SAMN43264502,PRJNA1122929
401141,102.100.100/401141,SAMN43264503,PRJNA1122929
401142,102.100.100/401142,SAMN43264504,PRJNA1122929
138065,102.100.100/138065,SAMN43264294,PRJNA1122929
138066,102.100.100/138066,SAMN43264295,PRJNA1122929
138080,102.100.100/138080,SAMN43264309,PRJNA1122929
138081,102.100.100/138081,SAMN43264310,PRJNA1122929
138082,102.100.100/138082,SAMN43264311,PRJNA1122929
138163,102.100.100/138163,SAMN43264390,PRJNA1122929
138164,102.100.100/138164,SAMN43264391,PRJNA1122929
138165,102.100.100/138165,SAMN43264392,PRJNA1122929
