GENOME,SAMPLE
BPAM22-1_SAMN07482804_MAG_00000011,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000012,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000013,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000015,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000018,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000019,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000020,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000023,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000026,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000027,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000028,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000030,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000034,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000036,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000038,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000040,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000043,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000044,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000045,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000046,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000047,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000048,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000049,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000050,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000052,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000053,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000055,BPAM22-1_SAMN07482804_METAG
